Experiment,rank_EigSimilarity,rank_Fitness,rank_RMSE,rank_Inliers,rank_fit_rmse
763621_exp,2,2,1,2,1
763638_exp,1,1,1,1,1
763640_exp,4,1,1,1,1
763660_exp,1,1,1,1,1
765199_exp,2,1,1,1,1
765201_exp,1,1,1,1,1
765202_exp,1,1,1,1,1
766858_exp,1,1,1,1,1
766859_exp,294,,,,
767340_exp,1,1,1,1,1
763620_exp,1,1,1,1,1
767940_exp,2,2,2,2,2
768552_exp,16,2,67,2,2
770066_exp,4,7,33,7,7
771612_exp,2,2,54,2,2
771615_exp,1,1,43,1,1
771731_exp,1,1,1,1,1
771736_exp,1,1,1,1,1
771742_exp,11,21,59,21,21
772132_exp,22,1,5,1,1
772144_exp,1,2,47,2,2
772732_exp,13,2,22,2,2
772733_exp,7,1,25,1,1
772734_exp,11,2,21,2,2
772741_exp,5,2,19,2,2
772742_exp,2,1,8,1,1
772745_exp,11,1,10,1,1
772749_exp,6,3,13,3,2
772763_exp,2,1,5,1,1
772764_exp,2,1,1,1,1
772769_exp,9,1,24,1,1
772796_exp,2,2,3,2,3
772797_exp,3,4,3,4,4
772801_exp,4,8,8,8,8
772804_exp,1,1,1,1,1
772805_exp,3,2,2,2,2
772809_exp,2,1,18,1,1
772810_exp,1,1,14,1,1
772840_exp,3,2,2,2,2
772841_exp,3,2,2,2,2
774135_exp,1,1,1,1,1
774596_exp,2,3,1,3,3
774935_exp,8,4,12,4,4
774937_exp,1,1,17,1,1
775262_exp,170,,,,
775310_exp,2,1,1,1,1
775316_exp,1,1,1,1,1
775318_exp,1,1,3,1,1
775999_exp,13,13,2,13,13
776556_exp,4,2,16,2,2
776560_exp,4,1,8,1,1
776572_exp,1,1,23,1,1
776840_exp,5,1,1,1,1
776935_exp,1,1,1,1,1
777043_exp,1,1,1,1,1
777087_exp,2,1,1,1,1
777133_exp,2,1,3,1,1
777135_exp,5,1,1,1,1
777141_exp,11,1,2,1,2
777155_exp,24,1,45,1,1
777217_exp,1,1,1,1,1
777239_exp,1,1,3,1,2
777240_exp,3,1,1,1,1
777253_exp,1,1,1,1,1
777551_exp,30,1,1,1,1
777553_exp,4,1,3,1,2
777942_exp,7,1,22,1,1
777945_exp,2,1,4,1,1
777948_exp,1,1,5,1,1
777991_exp,1,1,1,1,1
778082_exp,2,1,1,1,1
778091_exp,3,2,1,2,1
778429_exp,4,2,1,2,1
778448_exp,1,1,2,1,1
778504_exp,5,1,5,1,1
778632_exp,3,1,15,1,1
778844_exp,1,1,1,1,1
778897_exp,1,1,1,1,1
778899_exp,1,1,1,1,1
778906_exp,1,1,3,1,1
778915_exp,2,1,1,1,1
778920_exp,3,2,1,2,2
779434_exp,4,1,10,1,1
779530_exp,3,1,7,1,1
779533_exp,5,2,5,2,2
779545_exp,2,1,1,1,1
779608_exp,3,3,2,3,2
779699_exp,4,1,1,1,1
779815_exp,9,1,5,1,1
779861_exp,1,1,1,1,1
780252_exp,3,2,14,2,2
780254_exp,4,1,12,1,1
780273_exp,31,2,14,2,2
780279_exp,1,1,2,1,1
780283_exp,1,1,1,1,1
780287_exp,1,1,2,1,1
780288_exp,3,1,10,1,1
780295_exp,6,4,27,4,4
780296_exp,6,3,16,3,3
780299_exp,2,9,6,9,9
780300_exp,3,7,15,7,7
780706_exp,3,2,1,2,2
780827_exp,4,1,7,1,1
781070_exp,15,3,50,3,3
781071_exp,1,2,40,2,2
781282_exp,1,1,1,1,1
781613_exp,7,1,1,1,1
781744_exp,1,1,2,1,1
781831_exp,9,6,43,6,6
781899_exp,1,1,4,1,1
781912_exp,8,3,1,3,3
781914_exp,2,1,1,1,1
781915_exp,9,3,1,3,3
781916_exp,6,1,1,1,1
781917_exp,8,2,2,2,2
781921_exp,2,2,2,2,2
781923_exp,7,1,1,1,1
781926_exp,33,6,22,6,6
782016_exp,2,1,4,1,1
782185_exp,2,1,1,1,1
782438_exp,1,1,1,1,1
783475_exp,20,1,74,1,1
783595_exp,1,1,4,1,1
783596_exp,1,3,23,3,3
783617_exp,2,1,1,1,1
783619_exp,1,1,6,1,1
783854_exp,6,1,29,1,1
784049_exp,1,1,1,1,1
784111_exp,1,1,1,1,1
784856_exp,35,2,67,2,2
784907_exp,13,8,16,8,8
785149_exp,20,1,38,1,1
785150_exp,13,8,62,8,8
785159_exp,57,8,64,8,8
785169_exp,1,1,27,1,1
785173_exp,4,1,27,1,1
785184_exp,9,1,55,1,1
785185_exp,79,31,88,31,31
785682_exp,10,1,53,1,1
785887_exp,2,1,11,1,1
785997_exp,3,4,1,4,4
786001_exp,1,1,3,1,1
787629_exp,2,2,4,2,2
787761_exp,1,1,27,1,1
787913_exp,12,3,16,3,3
787914_exp,21,1,31,1,1
788695_exp,1,1,1,1,1
788698_exp,171,,,,
788771_exp,15,1,20,1,1
788786_exp,31,1,34,1,1
788794_exp,1,1,1,1,1
788905_exp,2,1,1,1,1
788909_exp,2,2,1,2,2
788916_exp,9,5,8,5,5
788920_exp,3,1,5,1,1
788923_exp,1,2,9,2,2
788926_exp,1,1,10,1,1
789366_exp,6,1,7,1,1
791705_exp,4,1,1,1,1
791713_exp,1,1,2,1,2
791816_exp,3,1,17,1,1
791817_exp,2,1,15,1,1
791819_exp,1,1,8,1,1
792161_exp,22,2,32,2,2
792350_exp,4,2,2,2,2
792358_exp,5,3,3,3,3
792429_exp,1,5,12,5,5
792430_exp,2,1,29,1,1
792440_exp,6,2,8,2,2
792441_exp,7,2,14,2,2
792510_exp,1,1,1,1,1
792783_exp,5,1,1,1,1
792803_exp,8,1,2,1,2
792937_exp,1,1,1,1,1
793405_exp,3,1,1,1,1
793426_exp,10,3,4,3,3
793548_exp,1,1,1,1,1
793646_exp,1,2,1,2,2
793689_exp,1,1,1,1,1
793768_exp,2,1,1,1,1
793787_exp,2,1,1,1,1
793789_exp,1,1,1,1,1
793791_exp,2,1,1,1,1
793793_exp,1,1,2,1,1
793796_exp,6,1,8,1,1
793832_exp,4,2,18,2,2
793975_exp,5,1,15,1,1
793978_exp,4,1,10,1,1
793981_exp,7,1,1,1,1
793982_exp,5,2,7,2,2
793997_exp,4,7,17,7,7
793998_exp,1,8,10,8,8
793999_exp,2,2,16,2,2
794008_exp,11,5,12,5,5
794262_exp,2,1,1,1,1
794273_exp,8,2,3,2,2
794515_exp,6,7,15,7,7
794516_exp,1,1,19,1,1
794601_exp,1,1,1,1,1
794679_exp,5,5,1,5,1
794863_exp,3,2,51,2,2
794864_exp,6,2,66,2,2
794870_exp,5,4,28,4,4
794871_exp,1,1,47,1,1
798351_exp,4,2,1,2,1
798475_exp,12,1,8,1,1
798480_exp,43,,,,
798512_exp,1,1,1,1,1
8063088_exp,1,1,1,1,1
8063089_exp,1,1,1,1,1
8087967_exp,1,1,9,1,1
8088206_exp,1,2,1,2,2
8088959_exp,16,1,18,1,1
8089434_exp,11,1,1,1,1
8091304_exp,3,2,1,2,2
8091592_exp,4,2,1,2,2
8091602_exp,1,1,1,1,1
8091607_exp,5,6,2,6,6
8091936_exp,8,1,1,1,1
8092171_exp,1,1,1,1,1
8092190_exp,1,1,2,1,2
8092284_exp,3,1,1,1,1
8092901_exp,1,2,28,2,2
