Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,777155,0.8140,0.0117,2442,✅
2,781831,0.6367,0.0107,1910,
3,771742,0.6330,0.0122,1899,
4,771615,0.4883,0.0129,1465,
5,772144,0.4723,0.0110,1417,
6,771612,0.4420,0.0130,1326,
7,785169,0.4023,0.0117,1207,
8,8092901,0.3967,0.0128,1190,
9,8125655,0.3873,0.0122,1162,
10,8092992,0.3870,0.0106,1161,
11,783596,0.3850,0.0112,1155,
12,788786,0.3837,0.0112,1151,
13,8126425,0.3820,0.0114,1146,
14,785159,0.3670,0.0122,1101,
15,772132,0.3593,0.0096,1078,
16,784907,0.3523,0.0079,1057,
17,8149518,0.3437,0.0105,1031,
18,8172406,0.3293,0.0123,988,
19,779434,0.3280,0.0106,984,
20,779815,0.3237,0.0109,971,
21,794008,0.3160,0.0121,948,
22,8141860,0.3140,0.0119,942,
23,785173,0.3120,0.0126,936,
24,8143504,0.3117,0.0118,935,
25,787913,0.3073,0.0121,922,
26,8088959,0.3040,0.0123,912,
27,794870,0.2983,0.0109,895,
28,8112097,0.2903,0.0110,871,
29,8087967,0.2747,0.0095,824,
30,8181354,0.2120,0.0109,636,
31,787914,0.2090,0.0103,627,
32,794871,0.2020,0.0118,606,
33,768552,0.1903,0.0129,571,
34,784856,0.1723,0.0131,517,
