Rank,CAD,Score (lower is better),Eigenvalues,Status
1,780299,0.5145,"0.0566, 0.0268, 0.0006",
2,780300,0.5172,"0.0569, 0.0270, 0.0006",
3,792937,0.6435,"0.0736, 0.0494, 0.0004",
4,8179611,0.6848,"0.0582, 0.0498, 0.0003",
5,8176966,0.7189,"0.0564, 0.0528, 0.0004",
6,793998,0.7674,"0.0590, 0.0226, 0.0007",
7,788920,0.7768,"0.0655, 0.0302, 0.0001",⬅️
8,785997,0.7781,"0.0273, 0.0225, 0.0002",
9,8176978,0.7911,"0.0570, 0.0553, 0.0004",
10,771731,0.8079,"0.0355, 0.0321, 0.0001",
11,777942,0.8343,"0.0642, 0.0500, 0.0002",
12,772741,0.8422,"0.0707, 0.0313, 0.0001",
13,772749,0.8454,"0.0711, 0.0316, 0.0001",
14,772769,0.8460,"0.0816, 0.0423, 0.0001",
15,772745,0.8711,"0.0762, 0.0315, 0.0001",
16,8096342,0.9097,"0.0371, 0.0056, 0.0004",
17,776560,0.9163,"0.0326, 0.0317, 0.0001",
18,772742,0.9278,"0.0347, 0.0312, 0.0001",
19,772809,0.9296,"0.0537, 0.0326, 0.0000",
20,788923,0.9321,"0.0393, 0.0259, 0.0001",
21,772801,0.9405,"0.0522, 0.0347, 0.0000",
22,780283,0.9421,"0.0502, 0.0169, 0.0001",
23,772810,0.9650,"0.0545, 0.0306, 0.0000",
24,792429,0.9701,"0.0912, 0.0452, 0.0001",
25,793975,0.9835,"0.0539, 0.0529, 0.0001",
26,8095212,0.9869,"0.0751, 0.0579, 0.0006",
27,793978,0.9954,"0.0543, 0.0535, 0.0001",
28,780254,1.0119,"0.0606, 0.0515, 0.0001",
29,8186079,1.0222,"0.0453, 0.0298, 0.0000",
30,777948,1.0239,"0.0640, 0.0096, 0.0001",
31,772732,1.0697,"0.0720, 0.0452, 0.0000",
32,8158965,1.0701,"0.0668, 0.0047, 0.0002",
33,772734,1.0727,"0.0717, 0.0457, 0.0000",
34,788909,1.0788,"0.0433, 0.0222, 0.0000",
35,788916,1.0815,"0.0647, 0.0448, 0.0000",
36,777945,1.1052,"0.0632, 0.0099, 0.0001",
37,788794,1.1141,"0.0598, 0.0097, 0.0001",
38,8092284,1.1375,"0.0096, 0.0074, 0.0005",
