scan       , coarse_processing_time, coarse_rank, coarse_cum_error   , fine_processing_time, fine_rank, fine_fitness      , fine_corr_rmse       , fine_nb_inliers_correspondence_set
763620.ply ,    0.07742738723754883,         3.0, 0.8839205940602758 ,   1.9191839694976807,       1.0, 1.0               , 0.0029576981628511613,                               2453
763621.ply ,    0.07613873481750488,         4.0, 0.8863520022298557 ,   2.6214122772216797,       2.0, 1.0               , 0.0031030191150380726,                               2418
763638.ply ,    0.10990619659423828,        32.0, 1.1690236187833725 ,   2.630702257156372 ,          ,                   ,                      ,                                  0
763640.ply ,    0.074859619140625  ,        36.0, 1.1174528275470905 ,   4.363109827041626 ,          ,                   ,                      ,                                133
763660.ply ,    0.08056759834289551,         1.0, 0.7945062016451598 ,   1.1847212314605713,       1.0, 0.9996666666666667, 0.0020724331656440894,                               2999
765199.ply ,    0.07352375984191895,         6.0, 0.6413102446477776 ,  13.58945918083191  ,       3.0, 0.9583333333333334, 0.005841117617367158 ,                                386
765201.ply ,    0.16072964668273926,         2.0, 0.3575053625463415 ,   7.11083722114563  ,       1.0, 1.0               , 0.004382525409825555 ,                                539
765202.ply ,    0.08764314651489258,         1.0, 0.4601620867742591 ,   7.745988130569458 ,       1.0, 0.9993333333333333, 0.005413792201859502 ,                                785
766858.ply ,    0.0738070011138916 ,         1.0, 0.5631235003790381 ,   4.037861585617065 ,       1.0, 0.6273333333333333, 0.011108623696955153 ,                                257
767340.ply ,    0.07401180267333984,         1.0, 0.8172563184788235 ,   2.3346660137176514,       1.0, 1.0               , 0.003471575471187414 ,                               1820
767940.ply ,    0.07141423225402832,         2.0, 0.9425045545920109 ,   0.5900132656097412,       1.0, 1.0               , 0.0018272464371336425,                               2977
768552.ply ,    0.07374310493469238,        18.0, 0.7266883034447639 ,  33.29238224029541  ,       2.0, 0.891             , 0.011132727079418364 ,                                594
770066.ply ,    0.11961674690246582,        20.0, 0.9041521058855607 ,  11.6934175491333   ,       5.0, 0.7746666666666666, 0.012054420445608881 ,                                 98
771612.ply ,    0.07557392120361328,        53.0, 1.0713191139737444 ,  27.74623727798462  ,          ,                   ,                      ,                                333
771615.ply ,    0.130157470703125  ,        54.0, 1.0864890781536238 ,  28.365887880325317 ,          ,                   ,                      ,                                272
771731.ply ,    0.08391737937927246,         2.0, 0.5928525767246547 ,  13.51832365989685  ,       6.0, 0.9443333333333334, 0.008739974616535185 ,                               1239
771736.ply ,    0.07416868209838867,         2.0, 0.577448937497408  ,   4.223861932754517 ,       3.0, 0.7363333333333333, 0.009357675382605592 ,                                840
771742.ply ,    0.07473874092102051,         9.0, 0.5140926700398988 ,  16.58872890472412  ,       1.0, 0.73              , 0.011035344161871633 ,                                596
772132.ply ,    0.07408356666564941,         2.0, 0.16640750046584035,  42.3116934299469   ,       2.0, 0.9516666666666667, 0.00988585274228017  ,                                393
772144.ply ,    0.07413458824157715,         1.0, 0.2957421457252976 ,  20.818316221237183 ,       1.0, 0.888             , 0.010054038581167215 ,                                406
772725.ply ,    0.08471155166625977,        38.0, 1.2736726389123123 ,   3.5857784748077393,          ,                   ,                      ,                                  0
772726.ply ,    0.07779693603515625,        39.0, 1.273840344564665  ,   3.7049081325531006,          ,                   ,                      ,                                625
772732.ply ,    0.0760040283203125 ,        29.0, 0.9579592339102797 ,  12.242567539215088 ,      15.0, 0.6826666666666666, 0.00989289357490535  ,                                117
772733.ply ,    0.07529211044311523,        25.0, 0.9407860328422597 ,  11.163037300109863 ,       1.0, 0.8473333333333334, 0.011211910704004574 ,                                 94
772734.ply ,    0.10276293754577637,        28.0, 0.9554339485534509 ,  11.856351852416992 ,       6.0, 0.8786666666666667, 0.01050717244861513  ,                                 82
772741.ply ,    0.07414460182189941,         8.0, 0.8646762885947672 ,   9.118480443954468 ,       6.0, 0.864             , 0.010136591799858881 ,                                145
772742.ply ,    0.08116817474365234,         4.0, 0.5770626553784379 ,   7.4093687534332275,       9.0, 0.9086666666666666, 0.00902041573073216  ,                                255
772745.ply ,    0.1091299057006836 ,         7.0, 0.8579329404956247 ,  10.187275886535645 ,       5.0, 0.875             , 0.010023211228324006 ,                                128
772749.ply ,    0.07423996925354004,        10.0, 0.8431064585351503 ,  13.08321213722229  ,       7.0, 0.8673333333333333, 0.010101127188338868 ,                                169
772763.ply ,    0.08865141868591309,         1.0, 0.6712209211597308 ,   4.535136938095093 ,       1.0, 0.9833333333333333, 0.007748856677733678 ,                                338
772764.ply ,    0.09631180763244629,         5.0, 0.7571468190257167 ,   6.778541088104248 ,       4.0, 0.9113333333333333, 0.007350665831175724 ,                                564
772769.ply ,    0.07127857208251953,        11.0, 0.7837255999412048 ,  11.205250978469849 ,       1.0, 0.866             , 0.01056818728493021  ,                                263
772796.ply ,    0.07371783256530762,        14.0, 1.2359767483632769 ,   1.2599740028381348,          ,                   ,                      ,                                748
772797.ply ,    0.08114171028137207,        13.0, 1.2295059921916254 ,   0.8351461887359619,          ,                   ,                      ,                               1169
772801.ply ,    0.08200478553771973,        22.0, 0.8826070029852664 ,  12.078778266906738 ,      12.0, 0.9013333333333333, 0.00972079979071494  ,                                200
772804.ply ,    0.07523536682128906,        18.0, 1.0225625693393177 ,   8.605295896530151 ,          ,                   ,                      ,                                229
772805.ply ,    0.07330632209777832,        16.0, 1.0126225405466094 ,   6.946228981018066 ,          ,                   ,                      ,                                310
772809.ply ,    0.07395529747009277,        22.0, 0.8939869535380182 ,  13.081966876983643 ,       5.0, 0.8973333333333333, 0.009689334306493231 ,                                189
772810.ply ,    0.07649946212768555,        26.0, 0.9507090527034329 ,  11.150389194488525 ,      13.0, 0.733             , 0.011420659123025695 ,                                217
772840.ply ,    0.0771780014038086 ,        13.0, 1.187460714009965  ,   2.244668960571289 ,          ,                   ,                      ,                               1239
772841.ply ,    0.07383418083190918,        14.0, 1.1991951335681823 ,   2.104586601257324 ,          ,                   ,                      ,                               1188
774135.ply ,    0.0743265151977539 ,         1.0, 0.24575794688640554,  14.711528778076172 ,       1.0, 1.0               , 0.0034947233125490157,                                928
774596.ply ,    0.0783236026763916 ,        13.0, 1.0300369075340174 ,   6.039059638977051 ,          ,                   ,                      ,                                166
774935.ply ,    0.07465720176696777,         1.0, 0.17889414540339182,  30.12389326095581  ,       2.0, 0.9673333333333334, 0.01001694983483799  ,                                437
774937.ply ,    0.08520698547363281,         2.0, 0.22087133278705512,  31.488508462905884 ,       1.0, 0.9813333333333333, 0.008123980615558312 ,                                647
775262.ply ,    0.07372069358825684,         2.0, 0.19683798129572477,  42.79955720901489  ,       4.0, 0.94              , 0.008830165416045154 ,                                750
775310.ply ,    0.09688687324523926,         3.0, 0.24703143656957247,  31.73908042907715  ,       1.0, 0.9673333333333334, 0.007993105793822052 ,                                463
775316.ply ,    0.13252878189086914,         4.0, 0.8564437460026254 ,   3.180987596511841 ,       1.0, 0.9803333333333333, 0.005253898608662471 ,                               1311
775318.ply ,    0.07741355895996094,         2.0, 0.2877858058726782 ,   6.652442455291748 ,       1.0, 1.0               , 0.004985311785543035 ,                               1806
775510.ply ,    0.0858316421508789 ,        10.0, 1.1894184074333503 ,   2.8195605278015137,          ,                   ,                      ,                               1671
775999.ply ,    0.08507299423217773,        26.0, 0.9587273516311449 ,  14.853546380996704 ,       4.0, 0.7123333333333334, 0.009900821303478208 ,                                568
776548.ply ,    0.0757293701171875 ,        19.0, 1.041216854656139  ,   5.936563968658447 ,          ,                   ,                      ,                                796
776556.ply ,    0.07519006729125977,        29.0, 0.9904663748190645 ,  13.984756231307983 ,       9.0, 0.219             , 0.013758486911688954 ,                                 72
776560.ply ,    0.08431839942932129,         3.0, 0.5816376793682803 ,   9.188487529754639 ,       7.0, 0.8936666666666667, 0.009300048851470661 ,                                396
776572.ply ,    0.0738229751586914 ,         2.0, 0.5715579418429245 ,  24.908166646957397 ,       2.0, 0.8326666666666667, 0.009814416595210597 ,                                410
776840.ply ,    0.07033038139343262,         2.0, 0.22255155373135801,  31.307644844055176 ,       1.0, 0.998             , 0.005601947165386037 ,                                917
776935.ply ,    0.09247446060180664,         9.0, 1.0051712956534429 ,   3.70524001121521  ,          ,                   ,                      ,                                  0
777043.ply ,    0.08095026016235352,         1.0, 0.34229582880763754,   7.414421558380127 ,       1.0, 0.9833333333333333, 0.006402047668329262 ,                                825
777087.ply ,    0.07059574127197266,         5.0, 0.9867330922034666 ,   4.648029804229736 ,       1.0, 1.0               , 0.0024719571350289957,                               1798
777133.ply ,    0.07173800468444824,         3.0, 1.0043408566656293 ,   1.2533345222473145,          ,                   ,                      ,                               2035
777135.ply ,    0.0766611099243164 ,         1.0, 0.2336928580625163 ,  30.297964334487915 ,       2.0, 0.9533333333333334, 0.01162078311145145  ,                                389
777141.ply ,    0.09847640991210938,         4.0, 0.46758166418106517,  23.1694233417511   ,       2.0, 0.9083333333333333, 0.009080156821318307 ,                                811
777155.ply ,    0.07374429702758789,        14.0, 0.6688185065774122 ,  25.60789728164673  ,       1.0, 0.8606666666666667, 0.011472940800626386 ,                                379
777217.ply ,    0.11282634735107422,         1.0, 0.25846785515585874,   8.34638500213623  ,       1.0, 1.0               , 0.004833717948494202 ,                                942
777239.ply ,    0.07404589653015137,         1.0, 0.297971737680523  ,  12.36667013168335  ,       1.0, 0.9996666666666667, 0.0031951679974969328,                               1585
777240.ply ,    0.07389235496520996,         1.0, 0.05556093016157396,  19.195582628250122 ,       1.0, 1.0               , 0.004937824462533309 ,                                975
777253.ply ,    0.09699368476867676,         1.0, 0.6672618459898387 ,   1.2934277057647705,       1.0, 1.0               , 0.0028093607303618573,                               2322
777551.ply ,    0.0733804702758789 ,         2.0, 0.14424570497222025,  31.890130758285522 ,       2.0, 0.9396666666666667, 0.010299691940751084 ,                                654
777553.ply ,    0.07328629493713379,        19.0, 0.788207546917141  ,  23.893859386444092 ,       2.0, 0.989             , 0.006070612862677166 ,                                751
777942.ply ,    0.13263154029846191,         5.0, 0.5295877936815329 ,  13.915438413619995 ,       7.0, 0.8783333333333333, 0.010751387536338903 ,                                156
777945.ply ,    0.07339692115783691,        21.0, 0.9757756909253062 ,  10.191244840621948 ,       2.0, 0.834             , 0.00823025468444347  ,                                224
777948.ply ,    0.07364845275878906,        14.0, 0.9053479746382146 ,   9.456984519958496 ,       1.0, 0.901             , 0.008446668177795555 ,                                213
777991.ply ,    0.07358956336975098,         7.0, 1.0061469287891953 ,   4.785454273223877 ,          ,                   ,                      ,                               1802
778082.ply ,    0.08391809463500977,        13.0, 0.9517390502250278 ,   6.526656150817871 ,       1.0, 0.8473333333333334, 0.006897319876177072 ,                                279
778091.ply ,    0.07363510131835938,        21.0, 1.1023368645099325 ,   2.158738613128662 ,          ,                   ,                      ,                                532
778429.ply ,    0.07356452941894531,        28.0, 1.1685770515958573 ,   3.143864154815674 ,          ,                   ,                      ,                                699
778448.ply ,    0.07354998588562012,         1.0, 0.3852811714906516 ,  11.812615156173706 ,       1.0, 0.8856666666666667, 0.0079660219137981   ,                                593
778504.ply ,    0.07351183891296387,        98.0, 1.565856281598846  ,  23.167359113693237 ,          ,                   ,                      ,                                440
778632.ply ,    0.07344651222229004,         1.0, 0.28690489351696813,   6.596031427383423 ,       1.0, 0.672             , 0.012215100324695546 ,                                371
778844.ply ,    0.12870550155639648,         1.0, 0.6270587998523557 ,   2.0773777961730957,       1.0, 1.0               , 0.0037264858927968957,                               2068
778897.ply ,    0.12800884246826172,         1.0, 0.45545907401543057,   3.8416545391082764,       1.0, 0.9916666666666667, 0.006783425336971137 ,                               1306
