scan,coarse_processing_time,coarse_rank,coarse_cum_error,fine_processing_time,fine_rank,fine_fitness,fine_rmse,fine_nb_inliers_correspondence_set
763620.ply,0.09474015235900879,6.0,0.8798638232175683,4.5458643436431885,3.0,1.0,0.001445144808055385,1799
763621.ply,0.07391238212585449,7.0,0.8786405595622644,5.440983295440674,4.0,1.0,0.0014903701280171524,1769
763638.ply,0.09220242500305176,16.0,1.0782324556273841,3.2467944622039795,,,,0
763640.ply,0.1098630428314209,11.0,0.9265063064601092,5.617022514343262,1.0,0.9996666666666667,0.006016917152217977,1033
763660.ply,0.0707554817199707,2.0,0.6359837620744941,2.1489672660827637,2.0,0.9996666666666667,0.0015940534598568948,2943
765199.ply,0.08037734031677246,3.0,0.5300994506573922,13.093013048171997,1.0,1.0,0.004536081727817986,864
765201.ply,0.07928824424743652,1.0,0.3297059994783422,10.257148504257202,1.0,1.0,0.0035440387263174803,1101
765202.ply,0.07062602043151855,1.0,0.3899901632846356,10.293904781341553,1.0,1.0,0.0040353352673530305,1040
767340.ply,0.07934832572937012,2.0,0.6995799444641718,4.015209674835205,1.0,0.9996666666666667,0.0018645677107423572,2133
767940.ply,0.10468721389770508,1.0,0.8492384957466048,1.1993956565856934,1.0,1.0,0.001267334129641788,2527
768552.ply,0.07386016845703125,9.0,0.574895737049512,23.820854663848877,2.0,0.8423333333333334,0.013185006580925604,418
770066.ply,0.12612056732177734,17.0,0.8313654863357898,12.73336124420166,6.0,0.908,0.011028960349116435,222
771612.ply,0.08060193061828613,2.0,0.2216756535153744,18.90092635154724,2.0,0.7443333333333333,0.012224014768678721,400
771615.ply,0.10495924949645996,1.0,0.22059467370263391,19.721325874328613,1.0,0.744,0.011526682843065702,419
771731.ply,0.07306694984436035,1.0,0.33913689663748486,9.399248123168945,1.0,1.0,0.00599524095349324,737
771736.ply,0.08060741424560547,1.0,0.2470237531689119,2.2299091815948486,1.0,0.9953333333333333,0.005292699314357518,1007
771742.ply,0.10158872604370117,28.0,0.871248105619696,20.159706592559814,16.0,0.5893333333333334,0.011970854151208589,384
772132.ply,0.07368612289428711,45.0,0.9749385492418959,37.80976700782776,1.0,0.9643333333333334,0.0069705656009951215,307
772144.ply,0.08511614799499512,1.0,0.09880518389263772,37.26423740386963,2.0,0.8943333333333333,0.01063712516200451,525
772732.ply,0.07327818870544434,26.0,0.9122140188284236,15.742089033126831,2.0,0.9813333333333333,0.009427258206497436,256
772733.ply,0.07388472557067871,26.0,0.9033522760151939,18.15569519996643,1.0,0.9723333333333334,0.01054612076218403,394
772734.ply,0.07845926284790039,25.0,0.9045218922347814,15.82686448097229,4.0,0.98,0.009133827509523892,177
772741.ply,0.07317662239074707,16.0,0.791879380088481,13.761509418487549,2.0,0.953,0.00980750403071934,597
772742.ply,0.13805556297302246,4.0,0.544313835761433,8.689212083816528,1.0,0.9826666666666667,0.00910322430962964,285
772745.ply,0.10434675216674805,18.0,0.8124441455037706,14.198410749435425,1.0,0.9556666666666667,0.010320842841133925,333
772749.ply,0.08003854751586914,17.0,0.8018608368862767,14.118366718292236,2.0,0.957,0.010078313577987842,376
772763.ply,0.07363080978393555,2.0,0.6809620167103545,6.788504362106323,2.0,0.9866666666666667,0.00811314196426179,497
772764.ply,0.07352662086486816,2.0,0.7060334136114309,7.81201434135437,2.0,1.0,0.0068518936821919335,394
772769.ply,0.07415127754211426,9.0,0.6904118394298814,18.044204235076904,1.0,0.9386666666666666,0.010585532518700399,279
772796.ply,0.07356429100036621,6.0,1.0674670669059598,0.5992553234100342,,,,1604
772797.ply,0.07994723320007324,6.0,1.1003843070625088,1.1319098472595215,,,,1596
772801.ply,0.08028531074523926,18.0,0.8105563339198326,15.129952430725098,5.0,0.9853333333333333,0.008714172592215241,228
772804.ply,0.09277057647705078,14.0,1.0000273234945307,7.176536321640015,,,,407
772805.ply,0.0736083984375,15.0,1.0025819732106076,7.444525241851807,,,,423
772809.ply,0.07720232009887695,16.0,0.8394047710197845,8.99222707748413,1.0,0.988,0.009443227370716607,289
772810.ply,0.08015894889831543,22.0,0.9096110473014885,11.385552883148193,1.0,0.991,0.00896743008099052,770
772840.ply,0.07367873191833496,4.0,1.091587378072026,1.6600217819213867,,,,2206
772841.ply,0.07350826263427734,4.0,1.0228239415438094,1.0903096199035645,,,,2125
774135.ply,0.07995152473449707,1.0,0.2907754385855498,11.290441751480103,1.0,1.0,0.005879138485074467,823
774596.ply,0.09142017364501953,18.0,1.012845719896354,9.481979608535767,,,,308
774935.ply,0.12861180305480957,82.0,1.216632876018658,28.195377588272095,,,,625
774937.ply,0.09068989753723145,3.0,0.2540227882763853,31.73735237121582,1.0,0.9953333333333333,0.009258954992515741,508
775262.ply,0.07431411743164062,217.0,7.8687874280576695,9.319538831710815,,,,754
775310.ply,0.08002400398254395,1.0,0.19173762875594386,29.339560747146606,1.0,1.0,0.007148317636514077,379
775316.ply,0.0734858512878418,5.0,0.7374233199096376,5.020496129989624,1.0,1.0,0.003892853080114128,1385
775318.ply,0.07420754432678223,1.0,0.1273272009506224,4.106697082519531,1.0,1.0,0.0039087638149837255,2144
775999.ply,0.0732877254486084,20.0,0.8749284113235388,10.345401287078857,7.0,0.7396666666666667,0.007448318165906477,535
776556.ply,0.07072663307189941,25.0,0.935001950579148,12.135628700256348,2.0,0.7963333333333333,0.011094223329619438,64
776560.ply,0.12609291076660156,3.0,0.5164589065136254,7.308215141296387,1.0,0.9713333333333334,0.009021521429514104,554
776572.ply,0.12337779998779297,1.0,0.3556140580502279,12.352539777755737,1.0,0.9223333333333333,0.011008878101428752,246
776840.ply,0.09982442855834961,5.0,0.2537423662887239,30.136297464370728,1.0,1.0,0.004038529334019779,1100
776935.ply,0.0730752944946289,6.0,0.9908857030587209,2.7973153591156006,4.0,1.0,0.0012511247825370217,2514
777043.ply,0.08454060554504395,2.0,0.3816717291650784,14.511767148971558,1.0,1.0,0.0039470973250248665,1101
777087.ply,0.08006954193115234,2.0,0.9383741984384516,1.0292291641235352,1.0,1.0,0.0015851425713820028,2962
777133.ply,0.07379150390625,3.0,0.9657570375950482,2.072176694869995,1.0,1.0,0.0022410259741661672,0
777135.ply,0.07463741302490234,3.0,0.260445792570519,31.687792778015137,1.0,1.0,0.005268494272249483,532
777141.ply,0.07361102104187012,13.0,0.7871648592478774,18.66640543937683,1.0,1.0,0.004898391476339752,981
777155.ply,0.07339954376220703,4.0,0.6455165089652366,18.327333211898804,1.0,0.814,0.011733719124473865,517
777217.ply,0.0801396369934082,1.0,0.31886440026992835,12.026702165603638,1.0,1.0,0.0032660044320144696,1114
777239.ply,0.08058309555053711,1.0,0.09086594826853327,10.25432538986206,1.0,1.0,0.0052202946384397745,1495
777240.ply,0.0732581615447998,5.0,0.5779330446273805,18.308950185775757,1.0,1.0,0.003973703907748205,1394
777253.ply,0.07340455055236816,1.0,0.5187543493269363,1.8264007568359375,1.0,1.0,0.0024596907326247656,2935
777551.ply,0.07383346557617188,40.0,1.3307623909196604,10.742575407028198,,,,1168
777553.ply,0.07529473304748535,2.0,0.4099471088252609,25.9644193649292,1.0,0.9996666666666667,0.007848910295074523,869
777942.ply,0.12404203414916992,7.0,0.45095028355106204,13.110934734344482,1.0,0.9123333333333333,0.010300456908458358,641
777945.ply,0.08048725128173828,3.0,0.8895881788772269,9.91827940940857,1.0,0.9976666666666667,0.007866908353705309,301
777948.ply,0.10988998413085938,2.0,0.7576908563384971,7.510970115661621,1.0,0.998,0.00750075801413426,440
777991.ply,0.07474851608276367,3.0,0.9751493785576024,2.4565446376800537,1.0,1.0,0.002306571163492399,1604
778082.ply,0.07550168037414551,4.0,0.8422397017106358,10.237064361572266,1.0,0.9996666666666667,0.005742160694828396,650
778091.ply,0.07245993614196777,19.0,1.1097757237131434,5.863981008529663,,,,466
778429.ply,0.07333540916442871,10.0,1.0486072140718072,4.311318397521973,,,,0
778448.ply,0.07346796989440918,1.0,0.3405255827302906,11.425282716751099,1.0,0.9016666666666666,0.006757643332740192,655
778504.ply,0.08430838584899902,4.0,0.2738363681110795,29.956029415130615,1.0,0.9913333333333333,0.008800739535316493,542
778632.ply,0.07387900352478027,1.0,0.4044989522756822,7.538517236709595,1.0,0.738,0.012487104315612747,300
778844.ply,0.0738213062286377,1.0,0.5230501888727821,3.6523125171661377,1.0,1.0,0.0022373393841737623,971
778897.ply,0.11639690399169922,1.0,0.4677469067602828,7.76997971534729,1.0,1.0,0.0025975925043777784,1640
778899.ply,0.07387399673461914,1.0,0.2947042849013098,5.158112525939941,1.0,1.0,0.0025616454068264597,1702
778906.ply,0.08525609970092773,1.0,0.28212637992817124,7.302524566650391,1.0,1.0,0.0031408639045940583,2073
778915.ply,0.07370853424072266,3.0,0.45106323587735037,6.111448287963867,1.0,0.9996666666666667,0.0039086724162752905,2321
778920.ply,0.07332110404968262,7.0,1.041370120767284,2.634366273880005,,,,2365
779434.ply,0.07396388053894043,3.0,0.4189610463347732,18.537786960601807,1.0,0.9966666666666667,0.008988407160983645,388
779530.ply,0.08871126174926758,2.0,0.3250324516851549,15.983059883117676,1.0,0.9186666666666666,0.007793806753489076,471
779533.ply,0.10433077812194824,3.0,0.32637497848145075,16.636985540390015,1.0,0.9296666666666666,0.007611992020908724,453
779545.ply,0.0866694450378418,3.0,0.679272264368087,7.623779058456421,1.0,0.8203333333333334,0.01126803742466457,259
779608.ply,0.08074498176574707,5.0,0.9414669122706008,1.492598533630371,3.0,1.0,0.0011129775373285087,2324
779699.ply,0.08040857315063477,2.0,0.5425952591776796,9.926573038101196,1.0,1.0,0.00424054922146878,1072
779815.ply,0.09181928634643555,4.0,0.31024373307174996,22.711456298828125,1.0,0.9143333333333333,0.00901692917819262,675
779861.ply,0.09999847412109375,2.0,0.3395520936909397,8.679910659790039,1.0,0.9946666666666667,0.008050740542176499,1004
780252.ply,0.08717012405395508,14.0,0.8188810057914769,12.07233190536499,2.0,0.849,0.01102984323216203,217
780254.ply,0.07064366340637207,10.0,0.638945735669747,15.201311588287354,1.0,0.9553333333333334,0.01086501636505932,196
780273.ply,0.07609176635742188,86.0,1.4113217272228133,40.029995918273926,,,,698
780279.ply,0.09171485900878906,1.0,0.4306576827066813,5.206832408905029,1.0,0.79,0.010413097888537176,475
780283.ply,0.08020567893981934,5.0,0.8067528495594984,5.4477198123931885,1.0,1.0,0.006660263498684806,654
780287.ply,0.07316946983337402,13.0,0.9446660780023608,7.97234034538269,1.0,0.971,0.009010211149174574,218
780288.ply,0.09409260749816895,24.0,0.8959328195765474,13.086884021759033,1.0,0.9163333333333333,0.010899419874294566,180
780295.ply,0.07350373268127441,28.0,0.9174798361602731,10.485573291778564,6.0,0.832,0.010230529009429624,137
780296.ply,0.0740194320678711,27.0,0.9324900768990471,10.904688119888306,3.0,0.87,0.010781867113135647,176
780299.ply,0.071624755859375,1.0,0.43909019595083476,8.120090961456299,4.0,0.8853333333333333,0.008408335024198651,1026
780300.ply,0.08460021018981934,2.0,0.41891909854006487,45.292640924453735,5.0,0.8806666666666667,0.008761117894622613,1016
780706.ply,0.07335519790649414,3.0,0.4973369489187755,23.52206015586853,2.0,0.9556666666666667,0.008910676351856259,731
780827.ply,0.07190275192260742,1.0,0.459840409391842,16.748535633087158,1.0,0.8126666666666666,0.010072901174595812,465
781070.ply,0.09124922752380371,5.0,0.48648353384945764,13.758659601211548,3.0,0.658,0.011132553684986496,209
781071.ply,0.08056378364562988,1.0,0.11593799734184225,14.665756702423096,3.0,0.5626666666666666,0.012244025014735859,309
781282.ply,0.08217191696166992,1.0,0.3232070261760797,7.502567529678345,1.0,1.0,0.0035213939797883445,1162
781613.ply,0.07431578636169434,20.0,1.0027044733241013,10.142879962921143,,,,1281
781744.ply,0.07988929748535156,1.0,0.5862751616159758,5.669469118118286,1.0,0.8936666666666667,0.009697578228905105,469
781831.ply,0.10814762115478516,16.0,0.671084249457845,30.497215270996094,6.0,0.7853333333333333,0.012446359580836284,493
