Rank,CAD,RANSAC Fitness,RANSAC RMSE,Num Inliers,Status
1,772132,0.9643,0.0070,2893,✅
2,785997,0.9340,0.0076,2802,
3,8092992,0.9303,0.0085,2791,
4,8172412,0.9283,0.0056,2785,
5,8172414,0.9280,0.0057,2784,
6,784907,0.8623,0.0078,2587,
7,772764,0.8393,0.0091,2518,
8,772763,0.8380,0.0071,2514,
9,8087967,0.8293,0.0081,2488,
10,788695,0.7637,0.0076,2291,
11,794870,0.7187,0.0116,2156,
12,792441,0.6780,0.0079,2034,
13,792440,0.6407,0.0097,1922,
14,794871,0.6397,0.0090,1919,
15,788698,0.6320,0.0096,1896,
16,775262,0.6313,0.0083,1894,
17,779815,0.6290,0.0089,1887,
18,786001,0.6227,0.0094,1868,
19,8172406,0.6127,0.0114,1838,
20,8149518,0.6050,0.0110,1815,
21,8126425,0.6047,0.0111,1814,
22,8174395,0.5817,0.0078,1745,
23,8141860,0.5813,0.0116,1744,
24,785169,0.5650,0.0092,1695,
25,783595,0.5633,0.0065,1690,
26,8125655,0.5537,0.0085,1661,
27,8155627,0.5500,0.0122,1650,
28,8105335,0.5417,0.0079,1625,
29,793793,0.5413,0.0104,1624,
30,8139623,0.5380,0.0073,1614,
31,8100975,0.5217,0.0087,1565,
32,8143504,0.4467,0.0120,1340,
33,779434,0.4403,0.0116,1321,
34,794008,0.4297,0.0108,1289,
35,778448,0.4067,0.0078,1220,
36,783596,0.3997,0.0114,1199,
37,787914,0.3990,0.0083,1197,
38,775310,0.3863,0.0110,1159,
39,793548,0.3767,0.0101,1130,
40,8094080,0.3440,0.0117,1032,
41,781921,0.3357,0.0087,1007,
42,792161,0.3117,0.0096,935,
43,8091936,0.2880,0.0118,864,
44,8100969,0.2737,0.0115,821,
45,782185,0.2727,0.0102,818,
46,8101572,0.2703,0.0111,811,
47,781899,0.2700,0.0112,810,
48,778504,0.2533,0.0121,760,
49,781926,0.2513,0.0126,754,
50,792803,0.2437,0.0112,731,
51,798480,0.2423,0.0116,727,
52,8092284,0.2360,0.0114,708,
53,777135,0.2210,0.0121,663,
54,783617,0.2160,0.0117,648,
55,774935,0.2127,0.0117,638,
56,793832,0.2110,0.0121,633,
57,780273,0.2103,0.0120,631,
58,798475,0.2027,0.0120,608,
59,8096342,0.1933,0.0117,580,
60,8111165,0.1907,0.0114,572,
61,8112097,0.1810,0.0115,543,
62,763638,0.1720,0.0101,516,
63,8111167,0.1693,0.0117,508,
64,774937,0.1647,0.0118,494,
65,779533,0.1597,0.0118,479,
66,779530,0.1303,0.0121,391,
67,782438,0.1240,0.0112,372,
68,771736,0.1240,0.0120,372,
69,780706,0.1023,0.0120,307,
