Rank,CAD,Score (lower is better),Eigenvalues,Status
1,791713,0.4524,"0.0035, 0.0003, 0.0000",✅
2,8063089,0.5336,"0.0038, 0.0005, 0.0000",
3,798512,0.6792,"0.0029, 0.0002, 0.0000",
4,767340,0.7184,"0.0024, 0.0003, 0.0000",
5,793789,0.8022,"0.0020, 0.0003, 0.0000",
6,793768,0.8695,"0.0007, 0.0003, 0.0000",
7,792510,0.8930,"0.0024, 0.0005, 0.0000",
8,8063088,0.9665,"0.0073, 0.0004, 0.0000",
9,776935,0.9942,"0.0015, 0.0003, 0.0000",
10,763620,1.0004,"0.0024, 0.0001, 0.0000",
11,763621,1.0032,"0.0024, 0.0001, 0.0000",
12,794679,1.0291,"0.0024, 0.0001, 0.0000",
13,8121694,1.0372,"0.0015, 0.0001, 0.0000",
14,8121692,1.0382,"0.0015, 0.0001, 0.0000",
15,794601,1.0603,"0.0018, 0.0001, 0.0000",
16,793791,1.0956,"0.0078, 0.0003, 0.0000",
17,798351,1.1892,"0.0019, 0.0000, 0.0000",
18,784049,1.1924,"0.0010, 0.0004, 0.0000",
19,8141343,1.2160,"0.0004, 0.0001, 0.0000",
20,8092171,1.2616,"0.0006, 0.0002, 0.0000",
21,8092190,1.3111,"0.0006, 0.0005, 0.0000",
22,779608,1.3415,"0.0005, 0.0005, 0.0000",
23,778899,1.3862,"0.0026, 0.0003, 0.0001",
24,793405,1.3916,"0.0005, 0.0003, 0.0001",
25,8095941,1.4073,"0.0013, 0.0002, 0.0001",
26,767940,1.4369,"0.0005, 0.0005, 0.0000",
27,763660,1.4406,"0.0005, 0.0001, 0.0000",
28,793689,1.4477,"0.0004, 0.0001, 0.0000",
29,792795,1.4658,"0.0001, 0.0001, 0.0000",
30,778897,1.4862,"0.0050, 0.0002, 0.0002",
31,8098446,1.4921,"0.0014, 0.0004, 0.0001",
32,8150394,1.5205,"0.0008, 0.0006, 0.0000",
33,794159,1.5301,"0.0004, 0.0000, 0.0000",
34,777253,1.5665,"0.0013, 0.0008, 0.0000",
35,772841,1.5686,"0.0088, 0.0001, 0.0000",
36,772840,1.5875,"0.0089, 0.0001, 0.0000",
37,781282,1.7071,"0.0041, 0.0008, 0.0001",
38,8117985,1.8695,"0.0033, 0.0013, 0.0000",
39,777087,2.0418,"0.0012, 0.0010, 0.0000",
40,792783,2.2228,"0.0006, 0.0006, 0.0001",
41,8144696,2.6109,"0.0037, 0.0005, 0.0003",
42,772797,2.8107,"0.0141, 0.0001, 0.0000",
43,772796,2.8109,"0.0141, 0.0001, 0.0000",
44,775510,2.9197,"0.0139, 0.0000, 0.0000",
45,8181356,2.9377,"0.0140, 0.0000, 0.0000",
46,777991,2.9513,"0.0041, 0.0020, 0.0000",
47,778906,3.0265,"0.0016, 0.0006, 0.0003",
48,778920,3.3509,"0.0014, 0.0006, 0.0003",
49,793787,3.3669,"0.0174, 0.0003, 0.0000",
50,794515,3.6952,"0.0042, 0.0010, 0.0003",
51,8093118,3.7509,"0.0006, 0.0004, 0.0003",
52,778844,3.7591,"0.0024, 0.0024, 0.0000",
53,779699,3.7702,"0.0034, 0.0014, 0.0002",
54,8100966,3.8925,"0.0178, 0.0004, 0.0001",
55,777133,4.0490,"0.0025, 0.0025, 0.0000",
56,8179627,4.0803,"0.0083, 0.0023, 0.0000",
57,777043,4.1601,"0.0067, 0.0012, 0.0003",
58,792350,4.3403,"0.0011, 0.0008, 0.0003",
59,775318,4.3905,"0.0011, 0.0005, 0.0004",
60,8139718,4.5076,"0.0033, 0.0023, 0.0002",
61,777217,4.8820,"0.0045, 0.0008, 0.0005",
62,8101572,5.0556,"0.0249, 0.0003, 0.0000",
63,777239,5.1248,"0.0024, 0.0009, 0.0005",
64,765201,5.2804,"0.0049, 0.0033, 0.0001",
65,775316,5.3588,"0.0098, 0.0029, 0.0000",
66,774135,5.4533,"0.0066, 0.0007, 0.0005",
67,8171486,5.5543,"0.0017, 0.0016, 0.0004",
68,8188926,5.6160,"0.0011, 0.0008, 0.0005",
69,778915,5.7045,"0.0014, 0.0009, 0.0005",
70,8088206,5.8331,"0.0085, 0.0021, 0.0003",
71,8103576,5.9036,"0.0046, 0.0029, 0.0002",
72,791705,6.1286,"0.0046, 0.0029, 0.0003",
73,781613,6.1694,"0.0043, 0.0023, 0.0004",
74,8122655,6.3541,"0.0045, 0.0032, 0.0002",
75,792358,6.4753,"0.0018, 0.0011, 0.0006",
76,8178944,6.6245,"0.0043, 0.0024, 0.0004",
77,763638,6.6856,"0.0305, 0.0005, 0.0001",
78,778429,6.8093,"0.0315, 0.0002, 0.0001",
79,784111,6.8319,"0.0086, 0.0025, 0.0003",
80,779861,6.9569,"0.0053, 0.0044, 0.0001",
81,8122643,7.0319,"0.0047, 0.0045, 0.0001",
82,793646,7.2141,"0.0138, 0.0031, 0.0001",
83,781914,7.2998,"0.0022, 0.0013, 0.0006",
84,8181152,7.5884,"0.0079, 0.0024, 0.0004",
85,8174397,7.7999,"0.0028, 0.0017, 0.0006",
86,8093514,8.0494,"0.0072, 0.0024, 0.0005",
87,781923,8.3634,"0.0044, 0.0026, 0.0006",
88,765202,8.6080,"0.0087, 0.0048, 0.0001",
89,8174395,8.6167,"0.0148, 0.0042, 0.0000",
90,778091,8.8394,"0.0393, 0.0006, 0.0001",
91,8103578,8.9257,"0.0055, 0.0028, 0.0006",
92,793426,8.9451,"0.0055, 0.0028, 0.0006",
93,788771,8.9874,"0.0052, 0.0032, 0.0005",
94,777240,9.3636,"0.0032, 0.0024, 0.0007",
95,765199,9.4955,"0.0129, 0.0048, 0.0001",
96,776840,9.7044,"0.0044, 0.0024, 0.0008",
97,782438,9.9252,"0.0231, 0.0008, 0.0006",
98,782185,9.9303,"0.0139, 0.0038, 0.0003",
99,781912,9.9325,"0.0044, 0.0029, 0.0007",
100,788905,9.9391,"0.0392, 0.0013, 0.0001",
101,781916,10.0377,"0.0062, 0.0030, 0.0006",
102,8139855,10.2455,"0.0027, 0.0022, 0.0008",
103,777141,10.4665,"0.0102, 0.0036, 0.0005",
104,777551,10.6638,"0.0088, 0.0037, 0.0005",
105,781917,10.6680,"0.0062, 0.0031, 0.0007",
106,8148795,10.9527,"0.0033, 0.0028, 0.0008",
107,8105335,11.1342,"0.0139, 0.0050, 0.0002",
108,8089434,11.1448,"0.0077, 0.0021, 0.0009",
109,8166038,11.6640,"0.0099, 0.0041, 0.0005",
110,8091304,11.6710,"0.0407, 0.0022, 0.0000",
111,781915,11.9124,"0.0050, 0.0028, 0.0009",
112,8188922,12.1370,"0.0024, 0.0014, 0.0012",
113,772725,12.1595,"0.0547, 0.0002, 0.0000",
114,772726,12.2106,"0.0549, 0.0002, 0.0000",
115,8100969,12.3027,"0.0191, 0.0055, 0.0001",
116,8100975,12.6151,"0.0197, 0.0055, 0.0001",
117,8126325,13.2281,"0.0038, 0.0038, 0.0009",
118,8126238,13.2867,"0.0038, 0.0038, 0.0009",
119,8126327,14.0345,"0.0054, 0.0041, 0.0009",
120,777553,14.1727,"0.0059, 0.0059, 0.0006",
121,778448,15.0772,"0.0219, 0.0029, 0.0008",
122,794262,15.3807,"0.0055, 0.0017, 0.0015",
123,793796,15.9389,"0.0062, 0.0036, 0.0012",
124,8092284,15.9834,"0.0096, 0.0074, 0.0005",
125,794273,16.5308,"0.0078, 0.0061, 0.0008",
126,785887,16.6678,"0.0059, 0.0030, 0.0014",
127,8179499,17.1743,"0.0077, 0.0063, 0.0008",
128,776548,17.4517,"0.0744, 0.0001, 0.0001",
129,8091936,17.6396,"0.0141, 0.0060, 0.0008",
130,793832,17.9461,"0.0133, 0.0039, 0.0012",
131,8166043,18.0189,"0.0062, 0.0044, 0.0013",
132,8093316,18.6357,"0.0399, 0.0068, 0.0000",
133,786001,18.7126,"0.0132, 0.0107, 0.0001",
134,792803,18.8022,"0.0104, 0.0083, 0.0006",
135,780706,18.9216,"0.0104, 0.0083, 0.0006",
136,777135,19.2606,"0.0092, 0.0084, 0.0007",
137,8096342,19.6514,"0.0371, 0.0056, 0.0004",
138,778082,19.9791,"0.0572, 0.0049, 0.0001",
139,772764,20.3027,"0.0349, 0.0085, 0.0001",
140,772763,20.3321,"0.0350, 0.0085, 0.0001",
141,793793,20.3382,"0.0109, 0.0091, 0.0006",
142,8111161,20.5740,"0.0073, 0.0055, 0.0014",
143,789366,20.9735,"0.0045, 0.0022, 0.0021",
144,793548,22.1378,"0.0251, 0.0065, 0.0009",
145,780255,22.4704,"0.0989, 0.0003, 0.0000",
146,8158965,22.5765,"0.0668, 0.0047, 0.0002",
147,783595,23.2499,"0.0137, 0.0064, 0.0014",
148,788695,23.2897,"0.0284, 0.0116, 0.0000",
149,772804,23.8719,"0.0477, 0.0090, 0.0000",
150,781921,24.2036,"0.0190, 0.0038, 0.0018",
151,763640,24.2328,"0.0957, 0.0014, 0.0001",
152,771736,24.3731,"0.0149, 0.0143, 0.0001",
153,792440,24.5186,"0.0172, 0.0077, 0.0012",
154,772805,24.9477,"0.0473, 0.0097, 0.0000",
155,8172414,24.9962,"0.0352, 0.0116, 0.0000",
156,8172412,25.0462,"0.0351, 0.0117, 0.0000",
157,792441,25.0573,"0.0169, 0.0080, 0.0012",
158,778504,25.2514,"0.0123, 0.0091, 0.0011",
159,783617,25.3004,"0.0109, 0.0048, 0.0019",
160,780273,25.6693,"0.0086, 0.0058, 0.0019",
161,8139623,26.1793,"0.0175, 0.0058, 0.0017",
162,8094080,26.6836,"0.0170, 0.0109, 0.0009",
163,788794,27.8497,"0.0598, 0.0097, 0.0001",
164,775310,28.4675,"0.0141, 0.0124, 0.0009",
165,777945,28.9645,"0.0632, 0.0099, 0.0001",
166,777948,29.0775,"0.0640, 0.0096, 0.0001",
167,8155627,29.8149,"0.0155, 0.0100, 0.0014",
168,8179617,30.0850,"0.1107, 0.0025, 0.0002",
169,783619,30.1696,"0.0584, 0.0055, 0.0011",
170,774937,30.3591,"0.0119, 0.0071, 0.0021",
171,774596,30.5632,"0.0429, 0.0140, 0.0000",
172,8181146,30.7935,"0.0423, 0.0143, 0.0000",
173,8111165,31.1862,"0.0090, 0.0059, 0.0025",
174,8111167,31.1932,"0.0090, 0.0059, 0.0025",
175,798480,31.2398,"0.0265, 0.0061, 0.0020",
176,798475,31.2558,"0.0261, 0.0061, 0.0020",
177,8112097,31.9492,"0.0305, 0.0125, 0.0008",
178,781926,32.2603,"0.0210, 0.0084, 0.0018",
179,784907,32.7096,"0.0400, 0.0096, 0.0012",
180,779434,34.3378,"0.0318, 0.0131, 0.0009",
181,782016,34.7484,"0.0963, 0.0081, 0.0001",
182,8087967,35.2354,"0.0384, 0.0134, 0.0008",
183,779533,35.5311,"0.0180, 0.0150, 0.0011",
184,779530,36.0486,"0.0181, 0.0152, 0.0011",
185,780283,37.0267,"0.0502, 0.0169, 0.0001",
186,774935,37.2214,"0.0138, 0.0073, 0.0028",
187,781899,38.0224,"0.0229, 0.0219, 0.0000",
188,792161,39.8818,"0.0110, 0.0105, 0.0026",
189,775262,41.1137,"0.0112, 0.0100, 0.0028",
190,8141860,41.1302,"0.0324, 0.0088, 0.0025",
191,785997,41.5253,"0.0273, 0.0225, 0.0002",
192,787914,41.5435,"0.0383, 0.0085, 0.0024",
193,780287,42.4565,"0.1048, 0.0122, 0.0001",
194,788698,42.5713,"0.0115, 0.0106, 0.0029",
195,788909,43.3734,"0.0433, 0.0222, 0.0000",
196,781744,44.1063,"0.1001, 0.0060, 0.0015",
197,779815,44.7350,"0.0289, 0.0118, 0.0024",
198,794871,45.2970,"0.0404, 0.0123, 0.0021",
199,8125655,46.8950,"0.0199, 0.0089, 0.0034",
200,8126425,46.9157,"0.0198, 0.0089, 0.0034",
201,8143504,46.9530,"0.0200, 0.0089, 0.0034",
202,8149518,47.0233,"0.0200, 0.0089, 0.0034",
203,783596,47.1845,"0.0201, 0.0090, 0.0034",
204,8114863,47.5213,"0.0056, 0.0046, 0.0046",
205,788923,48.2261,"0.0393, 0.0259, 0.0001",
206,8172406,49.7649,"0.0359, 0.0144, 0.0024",
207,794870,50.2681,"0.0363, 0.0143, 0.0024",
208,772132,53.2720,"0.0203, 0.0141, 0.0032",
209,793998,53.5641,"0.0590, 0.0226, 0.0007",
210,780827,53.8671,"0.0371, 0.0232, 0.0012",
211,772742,55.4072,"0.0347, 0.0312, 0.0001",
212,8186079,55.4599,"0.0453, 0.0298, 0.0000",
213,794516,55.5406,"0.0076, 0.0061, 0.0052",
214,776560,55.7921,"0.0326, 0.0317, 0.0001",
215,771731,57.4907,"0.0355, 0.0321, 0.0001",
216,8092992,58.4044,"0.0210, 0.0150, 0.0036",
217,780299,58.6839,"0.0566, 0.0268, 0.0006",
218,772810,58.7782,"0.0545, 0.0306, 0.0000",
219,780300,59.0118,"0.0569, 0.0270, 0.0006",
220,788920,61.2745,"0.0655, 0.0302, 0.0001",
221,772809,61.6681,"0.0537, 0.0326, 0.0000",
222,785169,63.7829,"0.0352, 0.0121, 0.0044",
223,772741,64.0433,"0.0707, 0.0313, 0.0001",
224,772749,64.5174,"0.0711, 0.0316, 0.0001",
225,772801,64.5313,"0.0522, 0.0347, 0.0000",
226,794008,65.5586,"0.0334, 0.0161, 0.0039",
227,772745,65.6314,"0.0762, 0.0315, 0.0001",
228,780279,70.4579,"0.1240, 0.0090, 0.0033",
229,787629,72.2428,"0.0854, 0.0236, 0.0020",
230,8092901,77.4725,"0.0385, 0.0075, 0.0066",
231,791819,79.2610,"0.1667, 0.0256, 0.0002",
232,793999,79.4694,"0.0650, 0.0254, 0.0030",
233,792430,80.1267,"0.1023, 0.0232, 0.0025",
234,793997,80.5937,"0.0611, 0.0377, 0.0011",
235,788916,83.2310,"0.0647, 0.0448, 0.0000",
236,785149,83.4445,"0.0453, 0.0385, 0.0017",
237,772769,84.1703,"0.0816, 0.0423, 0.0001",
238,8179614,84.2950,"0.1126, 0.0380, 0.0001",
239,768552,85.0322,"0.0149, 0.0087, 0.0079",
240,772732,85.4632,"0.0720, 0.0452, 0.0000",
241,772734,86.1303,"0.0717, 0.0457, 0.0000",
242,785150,87.1711,"0.0403, 0.0357, 0.0027",
243,8181354,87.5671,"0.0146, 0.0085, 0.0083",
244,8088959,87.7355,"0.0148, 0.0139, 0.0073",
245,787913,88.9425,"0.0256, 0.0238, 0.0054",
246,792429,90.8492,"0.0912, 0.0452, 0.0001",
247,785173,90.9248,"0.0373, 0.0145, 0.0070",
248,772144,91.4150,"0.0367, 0.0154, 0.0069",
249,8179611,91.6134,"0.0582, 0.0498, 0.0003",
250,780288,92.1380,"0.1053, 0.0443, 0.0001",
251,777942,92.4748,"0.0642, 0.0500, 0.0002",
252,780254,93.0931,"0.0606, 0.0515, 0.0001",
253,793975,94.1097,"0.0539, 0.0529, 0.0001",
254,8179592,94.2214,"0.1199, 0.0432, 0.0001",
255,793978,95.1709,"0.0543, 0.0535, 0.0001",
256,792937,95.1999,"0.0736, 0.0494, 0.0004",
257,8176966,96.7015,"0.0564, 0.0528, 0.0004",
258,8179629,99.5464,"0.0645, 0.0423, 0.0023",
259,8176978,100.7142,"0.0570, 0.0553, 0.0004",
260,8104983,100.9002,"0.1076, 0.0191, 0.0054",
261,770066,100.9566,"0.1047, 0.0500, 0.0001",
262,776572,103.1111,"0.1024, 0.0150, 0.0065",
263,775999,103.3803,"0.0625, 0.0578, 0.0001",
264,781831,103.5500,"0.0265, 0.0221, 0.0074",
265,8172410,105.4348,"0.0306, 0.0274, 0.0065",
266,8179589,106.4836,"0.1238, 0.0499, 0.0002",
267,772733,108.9792,"0.0719, 0.0604, 0.0000",
268,791816,109.0166,"0.1486, 0.0487, 0.0000",
269,8091607,110.3392,"0.0985, 0.0569, 0.0001",
270,8095212,110.8721,"0.0751, 0.0579, 0.0006",
271,780295,110.9611,"0.1114, 0.0557, 0.0000",
272,780296,111.4254,"0.1113, 0.0560, 0.0000",
273,8179631,111.8151,"0.0667, 0.0424, 0.0037",
274,791817,115.7783,"0.1477, 0.0532, 0.0000",
275,793981,115.9955,"0.0679, 0.0644, 0.0002",
276,793982,116.0035,"0.0679, 0.0644, 0.0002",
277,785159,117.2175,"0.0351, 0.0181, 0.0094",
278,777155,117.6874,"0.0261, 0.0211, 0.0092",
279,780252,121.7369,"0.1124, 0.0622, 0.0001",
280,788786,122.5664,"0.0235, 0.0233, 0.0094",
281,8179609,123.4955,"0.0509, 0.0433, 0.0052",
282,776556,129.4582,"0.1165, 0.0669, 0.0000",
283,8091602,130.5032,"0.0838, 0.0690, 0.0006",
284,771612,132.3124,"0.0418, 0.0229, 0.0101",
285,771615,132.3363,"0.0419, 0.0227, 0.0101",
286,766859,134.6906,"0.2094, 0.0552, 0.0002",
287,784856,135.0272,"0.0235, 0.0222, 0.0110",
288,8104626,135.2431,"0.1822, 0.0484, 0.0022",
289,778632,139.1222,"0.1374, 0.0463, 0.0042",
290,779545,139.2047,"0.1465, 0.0642, 0.0008",
291,794105,153.9947,"0.2636, 0.0543, 0.0011",
292,783854,154.5034,"0.0858, 0.0412, 0.0082",
293,766858,158.5177,"0.3938, 0.0298, 0.0024",
294,8176904,169.9539,"0.1829, 0.0816, 0.0003",
295,793889,172.4842,"0.2475, 0.0230, 0.0091",
296,8095189,179.2296,"0.1545, 0.0889, 0.0008",
297,788926,179.4198,"0.1054, 0.0748, 0.0046",
298,794101,180.5270,"0.2331, 0.0804, 0.0003",
299,8091592,182.9025,"0.1561, 0.0910, 0.0008",
300,771742,183.7043,"0.0232, 0.0218, 0.0166",
301,793778,195.3013,"0.3585, 0.0234, 0.0087",
302,781070,195.5720,"0.0622, 0.0271, 0.0160",
303,785682,197.9740,"0.0558, 0.0415, 0.0139",
304,794863,199.6344,"0.0491, 0.0397, 0.0146",
305,794864,200.6222,"0.0491, 0.0397, 0.0147",
306,793970,219.5575,"0.3738, 0.0846, 0.0003",
307,787761,221.7065,"0.0919, 0.0468, 0.0147",
308,781071,224.7882,"0.0626, 0.0433, 0.0164",
309,783475,235.4836,"0.0785, 0.0510, 0.0159",
310,8104629,241.7448,"0.1643, 0.0590, 0.0129",
311,8111409,293.5403,"0.0897, 0.0692, 0.0190",
312,8111520,298.1108,"0.1695, 0.1550, 0.0023",
313,785185,340.4518,"0.0460, 0.0449, 0.0297",
314,785184,353.3642,"0.0524, 0.0478, 0.0305",
