scan,coarse_processing_time,target_coarse_rank,target_cum_error,fine_processing_time,fine_rank,best_fitness,best_rmse
763620.ply,0.08806347846984863,1,0.4550431758776536,2.6262896060943604,1,1.0,0.0029290091056592576
763621.ply,0.08961892127990723,2,0.46711233887147086,3.3341832160949707,2,1.0,0.0029483034634242146
763638.ply,0.09795904159545898,4,0.8087561502370679,3.5821144580841064,1,1.0,0.005040082992291566
763640.ply,0.08861541748046875,5,0.8628817379167134,3.3669087886810303,2,0.8796666666666667,0.008114857884821832
763660.ply,0.08838415145874023,1,0.4160530365770253,1.1912212371826172,1,0.9996666666666667,0.0020931684915377214
765199.ply,0.09677529335021973,7,0.4569956269931004,18.187927722930908,3,0.9593333333333334,0.005740515358347998
765201.ply,0.09830117225646973,2,0.30542337059878055,14.423679828643799,2,1.0,0.004415469948715279
765202.ply,0.09287834167480469,1,0.32446372742871954,15.085461378097534,1,0.9993333333333333,0.0054716068206862615
766858.ply,0.10053443908691406,1,0.5217336296143285,1.637547254562378,1,0.6513333333333333,0.010910850771607066
767340.ply,0.1139216423034668,2,0.43616810730835254,6.270765781402588,1,1.0,0.0034750949017066284
767940.ply,0.09522342681884766,3,0.4857654391661723,2.1498889923095703,2,1.0,0.0018406776761249629
768552.ply,0.08768630027770996,14,0.5233109618988179,54.959895849227905,2,0.8796666666666667,0.010545018617203522
770066.ply,0.11733031272888184,6,0.5169723536472017,20.01468014717102,5,0.7746666666666666,0.012054420445608881
771612.ply,0.08470463752746582,38,0.7589591404515837,45.370879888534546,2,0.866,0.011524253078713593
771615.ply,0.11111283302307129,40,0.7684614127561812,47.114099740982056,3,0.8373333333333334,0.011068958385280573
771731.ply,0.09809589385986328,1,0.26968030875378657,22.23946189880371,5,0.9443333333333334,0.00910953112279738
771736.ply,0.08734631538391113,2,0.38309152882297504,7.435664892196655,4,0.7363333333333333,0.009357675382605592
771742.ply,0.08768415451049805,11,0.39058758498102814,37.454707622528076,1,0.742,0.012093099086254487
772132.ply,0.10760998725891113,2,0.1077920317876814,64.36113333702087,2,0.9513333333333334,0.009771815700620584
772144.ply,0.10226225852966309,1,0.3491480466931305,44.2196946144104,1,0.888,0.009422482253195584
